org_code,period,org_name,financial_year,fy_quarter,kh03_avail_all_avg_beds,kh03_occ_all_avg_beds,kh03_occ_all_rate,kh03_avail_ga_avg_beds,kh03_occ_ga_avg_beds,kh03_occ_ga_rate,kh03_avail_mat_avg_beds,kh03_occ_mat_avg_beds,kh03_avail_acute_avg_beds,kh03_occ_acute_avg_beds,kh03_occ_acute_rate,kh03_occ_adult_ga_rate,ae_type1_attendances,ae_waits_12hr_decision_to_admit,ae_type1_pct_4hr,canc_cancelled_ops,canc_breaches_28d,canc_pct_not_treated_28_days,uec_financial_year,uec_fy_quarter,uec_uec_nctr_mean,uec_uec_nctr_max,uec_uec_days
NAN,2018-19 Q1,England,2018-19,Q1,1413.1,1240.5,0.8778571934045716,101398.0659340659,91056.42857142857,0.8980095205231825,7717.637362637362,4492.142857142858,109115.70329670327,95548.57142857142,0.8756628839091967,0.8980095205231825,,,,,,,,,,,
R0A,2018-19 Q1,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2018-19,Q1,23.5,20.8,0.8851063829787235,1969.1868131868127,1769.2087912087911,0.898446393892721,156.978021978022,109.95604395604396,2126.1648351648346,1879.164835164835,0.8838283862498129,0.898446393892721,64111.0,0.0,0.8136981173277599,502.0,12.0,0.0239043824701195,,,,,
RAE,2018-19 Q1,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,8.8,7.9,0.8977272727272727,720.4725274725274,711.0879120879121,0.9869743605387186,76.83516483516483,6.483516483516484,797.3076923076923,717.5714285714286,0.8999931086761768,0.9869743605387186,31589.0,0.0,0.8365570293456583,131.0,10.0,0.0763358778625954,,,,,
RBL,2018-19 Q1,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2018-19,Q1,8.7,7.8,0.896551724137931,761.9010989010989,690.4505494505495,0.906220702984149,32.0,18.582417582417584,793.9010989010989,709.0329670329671,0.8930998685030107,0.906220702984149,23168.0,0.0,0.7527192679558011,50.0,15.0,0.3,,,,,
RBN,2018-19 Q1,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,2018-19,Q1,7.9,7.3,0.9240506329113923,677.6923076923077,637.6923076923077,0.9409761634506243,37.0,28.01098901098901,714.6923076923077,665.7032967032967,0.9314544028783615,0.9409761634506243,28858.0,0.0,0.7426710097719869,91.0,0.0,0.0,,,,,
RBQ,2018-19 Q1,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,2018-19,Q1,1.7,1.4,0.8235294117647058,153.52747252747253,125.46153846153848,0.8171927564240213,0.0,0.0,153.52747252747253,125.46153846153848,0.8171927564240213,0.8171927564240213,0.0,0.0,,65.0,0.0,0.0,,,,,
RBS,2018-19 Q1,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,2018-19,Q1,2.7,1.5,0.5555555555555555,235.3846153846154,135.69230769230768,0.5764705882352941,0.0,0.0,235.3846153846154,135.69230769230768,0.5764705882352941,0.5764705882352941,15473.0,0.0,0.9528210431073484,101.0,17.0,0.1683168316831683,,,,,
RBT,2018-19 Q1,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,5.8,5.2,0.896551724137931,490.0,454.61538461538464,0.9277864992150707,36.0,17.46153846153846,526.0,472.0769230769231,0.8974846446329336,0.9277864992150707,16833.0,0.0,0.7702132715499317,103.0,15.0,0.145631067961165,,,,,
RBV,2018-19 Q1,THE CHRISTIE NHS FOUNDATION TRUST,2018-19,Q1,1.9,1.6,0.8421052631578948,174.978021978022,149.14285714285714,0.8523519437291965,0.0,0.0,174.978021978022,149.14285714285714,0.8523519437291965,0.8523519437291965,0.0,0.0,,2.0,0.0,0.0,,,,,
RCB,2018-19 Q1,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2018-19,Q1,10.9,10.0,0.9174311926605504,938.5714285714286,880.5494505494505,0.9381805409202669,49.45054945054945,31.274725274725277,988.021978021978,911.8241758241758,0.922878433989545,0.9381805409202669,29216.0,13.0,0.8028135268346112,196.0,16.0,0.0816326530612244,,,,,
RCD,2018-19 Q1,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,2018-19,Q1,3.6,3.0,0.8333333333333333,299.989010989011,262.54945054945057,0.8751968936591085,27.01098901098901,11.67032967032967,327.0,274.21978021978026,0.8385926000604901,0.8751968936591085,13152.0,0.0,0.940845498783455,45.0,1.0,0.0222222222222222,,,,,
RCF,2018-19 Q1,AIREDALE NHS FOUNDATION TRUST,2018-19,Q1,3.8,3.2,0.8421052631578948,307.5054945054945,275.0659340659341,0.8945073794803989,40.0,15.263736263736265,347.5054945054945,290.32967032967036,0.8354678556746673,0.8945073794803989,14926.0,0.0,0.916119522980035,45.0,1.0,0.0222222222222222,,,,,
RCU,2018-19 Q1,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,2018-19,Q1,1.8,1.3,0.7222222222222222,139.78021978021977,95.68131868131869,0.6845125786163523,0.0,0.0,139.78021978021977,95.68131868131869,0.6845125786163523,0.6845125786163523,14390.0,0.0,0.9809589993050728,48.0,1.0,0.0208333333333333,,,,,
RE9,2018-19 Q1,SOUTH TYNESIDE NHS FOUNDATION TRUST,2018-19,Q1,3.7,3.0,0.8108108108108107,304.5824175824176,261.54945054945057,0.8587148681314717,24.0,4.307692307692308,328.5824175824176,265.8571428571429,0.8091033744690814,0.8587148681314717,16436.0,0.0,0.9453029934290582,10.0,0.0,0.0,,,,,
REM,2018-19 Q1,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2018-19,Q1,8.7,8.3,0.9540229885057473,794.3076923076923,751.6043956043956,0.9462383442627487,0.0,0.0,794.3076923076923,751.6043956043956,0.9462383442627487,0.9462383442627487,22827.0,0.0,0.730100319796732,44.0,0.0,0.0,,,,,
REN,2018-19 Q1,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,2018-19,Q1,1.2,0.8,0.6666666666666667,105.0,70.48351648351648,0.6712715855572998,0.0,0.0,105.0,70.48351648351648,0.6712715855572998,0.6712715855572998,,,,,,,,,,,
REP,2018-19 Q1,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,2018-19,Q1,1.3,0.9,0.6923076923076923,24.0,16.857142857142858,0.7023809523809524,98.0,63.31868131868132,122.0,80.17582417582418,0.6571788866870834,0.7023809523809524,0.0,0.0,,17.0,0.0,0.0,,,,,
RET,2018-19 Q1,THE WALTON CENTRE NHS FOUNDATION TRUST,2018-19,Q1,1.9,1.6,0.8421052631578948,168.52747252747253,141.24175824175825,0.8380933750652061,0.0,0.0,168.52747252747253,141.24175824175825,0.8380933750652061,0.8380933750652061,0.0,0.0,,42.0,2.0,0.0476190476190476,,,,,
