bed_base,outcome,model,occ_col,cap_col,y_col,nobs,dropped_regressors,coef_occ_x_q_q1,se_occ_x_q_q1,p_occ_x_q_q1,coef_occ_x_q_q3,se_occ_x_q_q3,p_occ_x_q_q3,coef_occ_x_q_q4,se_occ_x_q_q4,p_occ_x_q_q4,coef_occ_x_q_q5,se_occ_x_q_q5,p_occ_x_q_q5,coef_occ_x_nearest_trust_km_z,se_occ_x_nearest_trust_km_z,p_occ_x_nearest_trust_km_z,coef_occ_x_trusts_within_10km_z,se_occ_x_trusts_within_10km_z,p_occ_x_trusts_within_10km_z,coef_occ_x_trusts_within_25km_z,se_occ_x_trusts_within_25km_z,p_occ_x_trusts_within_25km_z
all,ae_12h_per_1k_att,size_quintile_slopes,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_12h_per_1k_att,3551,,-3.3140137353266357,1.1933063636172534,0.005513722677770616,-0.4691540729942054,0.9385950160587422,0.6172152524100407,1.639248709775677,0.9585459840896916,0.08733167344425197,-0.22088738567069963,0.9469335052180231,0.8155690005606324,1.3318195169111642,0.42484859913279754,0.001734420179765106,-3.516128516720931,0.691248697193759,3.8434041793600215e-07,3.611132458203874,0.7345040417948898,9.234049389572618e-07
all,ae_4hr_pct,size_quintile_slopes,kh03_occ_all_rate,kh03_avail_all_avg_beds,ae_type1_pct_4hr,3551,,-0.016005136984311722,0.010313881039183834,0.12080248282530559,-0.008931909893876341,0.009228015296580867,0.33315746320623285,-0.008588209014048439,0.008237675806584598,0.29723025341063347,0.0031937829312041585,0.011026692461920106,0.7721086299960054,0.0025946921506799143,0.003977381487065957,0.5142121365612535,0.03344146076568169,0.008004227696206947,3.0156395707914285e-05,-0.014680913966532816,0.00518198384455688,0.004637697691718623
all,canc_pct28,size_quintile_slopes,kh03_occ_all_rate,kh03_avail_all_avg_beds,canc_pct_not_treated_28_days,2852,,0.049174925049978044,0.01605569647870592,0.002214858322541202,-0.0019628785277357127,0.02942814958374236,0.9468249633261043,-0.002232630383194757,0.02245491407959048,0.9208065135509538,0.00557526585668082,0.015488305570422842,0.7189009217527456,0.019186471872391465,0.010037995495420093,0.05606214729090331,0.012204417851973409,0.014471832092139697,0.3991238189406663,-0.025254867901810592,0.018224994926888477,0.16594604898234344
ga,ae_12h_per_1k_att,size_quintile_slopes,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,occ_x_q_q1,,,,-3.451618830151099,0.841429429892595,4.1909656605554346e-05,0.7120246733698212,0.8919292307499667,0.4247541170557101,-0.44332192079096405,0.9619445582396444,0.644928606554833,1.532285993914811,0.4030376383842746,0.0001461598489149729,-3.531579922506501,0.6635452407440628,1.091513663897814e-07,3.716456320759278,0.6882900891148529,7.142288027672805e-08
ga,ae_4hr_pct,size_quintile_slopes,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,occ_x_q_q1,,,,-0.011342228864976302,0.007908317240373785,0.15160341973703684,-0.012539689778423228,0.00739754290621939,0.09014567134793094,0.0012485004700398502,0.009640617520558385,0.8969664112231033,-0.0005525668469955982,0.003523833949378961,0.8754052047823073,0.026176028821309275,0.007398006478288772,0.0004082057270469175,-0.01330388079705448,0.005104829622236579,0.009197223635547758
ga,canc_pct28,size_quintile_slopes,kh03_occ_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2812,,0.05765022606070038,0.03599256521791226,0.10933622373733809,0.009588269670119581,0.02289861484566055,0.6754497826827266,-0.014657514401555634,0.01944121585776169,0.45095256523876404,-0.015716656232761667,0.015784283751043814,0.31947992003814685,0.01463308850434161,0.01062567356147431,0.1685846669308193,0.03230585043054677,0.01946496781099382,0.09709556902022376,-0.04157932913359066,0.019442881945281494,0.032564964280335396
acute_proxy,ae_12h_per_1k_att,size_quintile_slopes,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,ae_12h_per_1k_att,3551,occ_x_q_q1,,,,-3.14699965453297,0.8083651508038716,0.00010090786460148493,0.42756867321261954,0.8745113397691533,0.624927980626736,-0.4703796519150982,0.9616745660694457,0.6247845324238495,1.3570831247030866,0.4000533918014411,0.0007011716902973752,-3.949512488822821,0.6699791852333671,4.115919827185621e-09,3.982528506836481,0.6964645090903876,1.1701428270782799e-08
acute_proxy,ae_4hr_pct,size_quintile_slopes,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,ae_type1_pct_4hr,3551,occ_x_q_q1,,,,-0.0025473197824938936,0.008071202000414538,0.752321079074469,-0.006562778497178013,0.007602446780652693,0.3880637488614389,0.0034242273701544862,0.010432237533994552,0.7427541935108075,0.0016246684283523205,0.003639639138890832,0.6553501374777624,0.031685039235095025,0.007857924272371312,5.6468292530809094e-05,-0.014460619113471844,0.0050610756130007395,0.004299792807265002
acute_proxy,canc_pct28,size_quintile_slopes,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,canc_pct_not_treated_28_days,2812,,0.044158319205356414,0.03528182188868603,0.21083110413984119,0.04318690440574469,0.022810969924006448,0.05843401662953163,-0.007594238209733407,0.01915163616327479,0.6917446895786186,-0.006883502891259725,0.015218151140015398,0.651074384430609,0.012419535920738342,0.010500711456105176,0.23702188584349404,0.029967913941375983,0.01864446236863237,0.10810064597581293,-0.03655747091742282,0.018691832832703245,0.050594468261754066
adult_ga_proxy,ae_12h_per_1k_att,size_quintile_slopes,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,occ_x_q_q1,,,,-3.451618830151099,0.841429429892595,4.1909656605554346e-05,0.7120246733698212,0.8919292307499667,0.4247541170557101,-0.44332192079096405,0.9619445582396444,0.644928606554833,1.532285993914811,0.4030376383842746,0.0001461598489149729,-3.531579922506501,0.6635452407440628,1.091513663897814e-07,3.716456320759278,0.6882900891148529,7.142288027672805e-08
