bed_base,occ_col,outcome,y_col,threshold,nobs,coef_above_80,se_above_80,p_above_80,coef_above_82,se_above_82,p_above_82,coef_above_85,se_above_85,p_above_85,coef_above_88,se_above_88,p_above_88,coef_above_90,se_above_90,p_above_90,coef_above_92,se_above_92,p_above_92
all,kh03_occ_all_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,0.8,3551,0.0013885002645161284,0.014355382500429243,0.9229518488219324,,,,,,,,,,,,,,,
all,kh03_occ_all_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,0.82,3551,,,,0.0023752940298741878,0.013834414477449028,0.8636879135724236,,,,,,,,,,,,
all,kh03_occ_all_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,0.85,3551,,,,,,,0.007385410924974441,0.011480074329074942,0.5200572874258098,,,,,,,,,
all,kh03_occ_all_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,0.88,3551,,,,,,,,,,-0.007868661798102928,0.00862574002779752,0.361712473404991,,,,,,
all,kh03_occ_all_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,0.9,3551,,,,,,,,,,,,,-0.007844884303392793,0.008636656589446857,0.3637716536609694,,,
all,kh03_occ_all_rate,ae_type1_pct_4hr,ae_type1_pct_4hr,0.92,3551,,,,,,,,,,,,,,,,-0.005921638070741174,0.010943021530390229,0.588451040059824
all,kh03_occ_all_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,0.8,4195,-60.70129072312678,37.85852594967541,0.10893155788156905,,,,,,,,,,,,,,,
all,kh03_occ_all_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,0.82,4195,,,,-51.58636475427343,44.18361389722149,0.24305987091659365,,,,,,,,,,,,
all,kh03_occ_all_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,0.85,4195,,,,,,,-50.52159516496335,43.06043149650176,0.24075663769761313,,,,,,,,,
all,kh03_occ_all_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,0.88,4195,,,,,,,,,,22.77160438244115,47.61166651155722,0.6324786141537468,,,,,,
all,kh03_occ_all_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,0.9,4195,,,,,,,,,,,,,27.708659313803246,47.20112799335718,0.5572141117642515,,,
all,kh03_occ_all_rate,ae_waits_12hr_dta,ae_waits_12hr_decision_to_admit,0.92,4195,,,,,,,,,,,,,,,,77.87259724995808,57.80636626745641,0.17801519388028986
all,kh03_occ_all_rate,canc_cancelled_ops,canc_cancelled_ops,0.8,2857,-4.171669933380706,9.612608061536664,0.664338644134713,,,,,,,,,,,,,,,
all,kh03_occ_all_rate,canc_cancelled_ops,canc_cancelled_ops,0.82,2857,,,,-14.797302524939527,9.873401943467432,0.13406837534566884,,,,,,,,,,,,
all,kh03_occ_all_rate,canc_cancelled_ops,canc_cancelled_ops,0.85,2857,,,,,,,-2.5838765207206023,9.85107201063494,0.7931149978746086,,,,,,,,,
all,kh03_occ_all_rate,canc_cancelled_ops,canc_cancelled_ops,0.88,2857,,,,,,,,,,9.274958990741245,12.768961647423636,0.46767695421080724,,,,,,
all,kh03_occ_all_rate,canc_cancelled_ops,canc_cancelled_ops,0.9,2857,,,,,,,,,,,,,14.35840336597831,12.090303045197373,0.23509764212284412,,,
all,kh03_occ_all_rate,canc_cancelled_ops,canc_cancelled_ops,0.92,2857,,,,,,,,,,,,,,,,14.148904566492611,13.530048273179139,0.2957757098332834
all,kh03_occ_all_rate,canc_breaches_28d,canc_breaches_28d,0.8,2857,-1.2682043257329367,4.805054771126374,0.7918531608848816,,,,,,,,,,,,,,,
all,kh03_occ_all_rate,canc_breaches_28d,canc_breaches_28d,0.82,2857,,,,-4.917743513924567,5.477207354232461,0.36934300427238487,,,,,,,,,,,,
all,kh03_occ_all_rate,canc_breaches_28d,canc_breaches_28d,0.85,2857,,,,,,,-5.260565595800431,3.9203114016494616,0.1797504351398993,,,,,,,,,
all,kh03_occ_all_rate,canc_breaches_28d,canc_breaches_28d,0.88,2857,,,,,,,,,,-1.5716354616250097,3.7031789768491965,0.6713069574764634,,,,,,
all,kh03_occ_all_rate,canc_breaches_28d,canc_breaches_28d,0.9,2857,,,,,,,,,,,,,-0.4424695965579201,3.2920165178494556,0.8930909552364974,,,
all,kh03_occ_all_rate,canc_breaches_28d,canc_breaches_28d,0.92,2857,,,,,,,,,,,,,,,,-1.370937278592824,4.3740871082988235,0.7539840982415931
all,kh03_occ_all_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,0.8,2857,0.0033191758650152102,0.023486977055597016,0.887627901293705,,,,,,,,,,,,,,,
all,kh03_occ_all_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,0.82,2857,,,,0.005983516936616457,0.02705432750024265,0.8249794742750152,,,,,,,,,,,,
all,kh03_occ_all_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,0.85,2857,,,,,,,0.005381523829939846,0.01664433274001145,0.7464745876484984,,,,,,,,,
all,kh03_occ_all_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,0.88,2857,,,,,,,,,,0.003861590988562594,0.014397033725193156,0.7885496369389526,,,,,,
all,kh03_occ_all_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,0.9,2857,,,,,,,,,,,,,-0.00329854812773305,0.013672306437621915,0.8093739170396963,,,
all,kh03_occ_all_rate,canc_pct_not_treated_28d,canc_pct_not_treated_28_days,0.92,2857,,,,,,,,,,,,,,,,0.00306769206871068,0.012177555570942045,0.8011271573833061
all,kh03_occ_all_rate,uec_nctr_mean,uec_uec_nctr_mean,0.8,1434,-3.7124068038099405,5.8628520095895285,0.5267088864440326,,,,,,,,,,,,,,,
all,kh03_occ_all_rate,uec_nctr_mean,uec_uec_nctr_mean,0.82,1434,,,,-3.469538465559535,4.7758142749576455,0.4676746159032996,,,,,,,,,,,,
all,kh03_occ_all_rate,uec_nctr_mean,uec_uec_nctr_mean,0.85,1434,,,,,,,1.1392067591068398,4.281149153043373,0.7902056232261474,,,,,,,,,
all,kh03_occ_all_rate,uec_nctr_mean,uec_uec_nctr_mean,0.88,1434,,,,,,,,,,-0.1027164682376304,3.051360259657492,0.9731514323065726,,,,,,
all,kh03_occ_all_rate,uec_nctr_mean,uec_uec_nctr_mean,0.9,1434,,,,,,,,,,,,,0.6292846433109581,2.788313369080146,0.8214807174012766,,,
all,kh03_occ_all_rate,uec_nctr_mean,uec_uec_nctr_mean,0.92,1434,,,,,,,,,,,,,,,,1.0226393714043285,3.940282169079852,0.7952638874124878
all,kh03_occ_all_rate,uec_nctr_max,uec_uec_nctr_max,0.8,1434,-5.998572390713464,11.804510220601472,0.6114277333226941,,,,,,,,,,,,,,,
all,kh03_occ_all_rate,uec_nctr_max,uec_uec_nctr_max,0.82,1434,,,,-4.888349369951691,7.6647606837723625,0.5237360675318539,,,,,,,,,,,,
all,kh03_occ_all_rate,uec_nctr_max,uec_uec_nctr_max,0.85,1434,,,,,,,6.3605983142224805,7.188052936607589,0.3763823101158159,,,,,,,,,
all,kh03_occ_all_rate,uec_nctr_max,uec_uec_nctr_max,0.88,1434,,,,,,,,,,-1.134715127664234,5.022922956717803,0.8213089779020479,,,,,,
all,kh03_occ_all_rate,uec_nctr_max,uec_uec_nctr_max,0.9,1434,,,,,,,,,,,,,3.0066161960421214,5.059272549537223,0.5524292728176006,,,
all,kh03_occ_all_rate,uec_nctr_max,uec_uec_nctr_max,0.92,1434,,,,,,,,,,,,,,,,1.458129507870412,5.693520406749072,0.7979115420445411
